model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,model_encoded,transmission_encoded,fuelType_encoded
 1 Series,-0.932718708948922,14698,Semi-Auto,0.7122682584232881,Petrol,0.0,0.38825317753974425,-1.3250189753023558,0,2,2
 X1,-1.6468679961266333,18498,Semi-Auto,0.8421124043966597,Diesel,0.0,0.37794474988187193,-0.27186395379305184,11,2,0
 1 Series,-0.932718708948922,14498,Manual,0.7286785709304967,Petrol,0.0,0.05838349248783377,-1.3250189753023558,0,1,2
 5 Series,-0.932718708948922,22998,Semi-Auto,0.40962548314094305,Diesel,0.0,1.4397127986427083,-0.27186395379305184,4,2,0
 1 Series,-0.932718708948922,14498,Manual,0.5018762837292751,Diesel,0.0,1.944825753878445,-1.3250189753023558,0,1,0
 5 Series,0.4955798654065009,29898,Semi-Auto,-0.6780317235121336,Diesel,0.0,0.8624408498018653,-0.27186395379305184,4,2,0
 3 Series,0.4955798654065009,22998,Semi-Auto,-0.4650899393050483,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,2,2,2
 3 Series,0.4955798654065009,29998,Manual,-0.5971569961359702,Diesel,0.0,0.16146776906655572,-0.27186395379305184,2,1,0
 4 Series,0.4955798654065009,29898,Semi-Auto,-0.8507649730900027,Diesel,0.0,0.8624408498018653,-0.27186395379305184,3,2,0
 5 Series,-0.932718708948922,20498,Semi-Auto,-0.025411247627845863,Diesel,0.0,1.7695824836946188,-0.27186395379305184,4,2,0
 4 Series,-0.21856942177121053,22995,Automatic,-0.38663426197974826,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,3,0,2
 X6,-0.21856942177121053,36995,Semi-Auto,-0.4585519661946067,Diesel,0.0,-0.4776547457215199,1.8344460892255559,16,2,0
 5 Series,-0.21856942177121053,26995,Automatic,-0.41278615442151495,Diesel,0.0,1.7695824836946188,-0.27186395379305184,4,0,0
 5 Series,-0.21856942177121053,25995,Semi-Auto,-0.2885646653231232,Diesel,0.0,-0.21994405427471503,-0.27186395379305184,4,2,0
 5 Series,-0.932718708948922,22998,Automatic,0.1781158553002034,Diesel,0.0,0.8624408498018653,-0.27186395379305184,4,0,0
 5 Series,0.4955798654065009,34498,Automatic,-0.4144206476991254,Diesel,0.0,-0.03439235643301584,1.8344460892255559,4,0,0
 1 Series,0.4955798654065009,18498,Semi-Auto,-0.12289242670453121,Diesel,0.0,1.7695824836946188,-0.27186395379305184,0,2,0
 7 Series,0.4955798654065009,45898,Semi-Auto,-0.4720855705332209,Diesel,0.0,-0.7869075754576857,1.8344460892255559,6,2,0
 X3,0.4955798654065009,37898,Semi-Auto,-0.2178891759992487,Diesel,0.0,-0.31271990319556464,1.8344460892255559,13,2,0
 3 Series,-1.6468679961266333,18498,Semi-Auto,1.5290572391107664,Diesel,0.0,0.16146776906655572,1.8344460892255559,2,2,0
 2 Series,0.4955798654065009,23998,Semi-Auto,-0.7058181092315108,Petrol,0.0,-0.3951873244585426,-0.27186395379305184,1,2,2
 X1,-0.932718708948922,21498,Semi-Auto,0.08527663713193165,Diesel,0.0,0.37794474988187193,-0.27186395379305184,11,2,0
 X1,-0.932718708948922,18500,Semi-Auto,-0.062350795701841315,Diesel,0.0,1.4397127986427083,-0.27186395379305184,11,2,0
 X3,-0.21856942177121053,31000,Semi-Auto,0.4691864181770667,Diesel,0.0,-0.31271990319556464,1.8344460892255559,13,2,0
 3 Series,-0.21856942177121053,22500,Semi-Auto,-0.12838432411730222,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,2,2,2
 1 Series,-0.21856942177121053,15500,Manual,-0.47640063278611244,Petrol,0.0,-1.446646945561506,-1.3250189753023558,0,1,2
 4 Series,0.4955798654065009,29000,Semi-Auto,0.05794790953028546,Diesel,0.0,-0.13747663301173776,1.8344460892255559,3,2,0
 4 Series,0.4955798654065009,24700,Semi-Auto,-0.5176552431129994,Diesel,0.0,1.4397127986427083,-0.27186395379305184,3,2,0
 2 Series,0.4955798654065009,24000,Semi-Auto,-0.693918998170507,Petrol,0.0,-1.2920205306934232,-1.3250189753023558,1,2,2
 1 Series,-0.21856942177121053,16000,Manual,-0.39971020820063163,Diesel,0.0,-0.13747663301173776,-1.3250189753023558,0,1,0
 1 Series,0.4955798654065009,32000,Semi-Auto,-0.5636171940794044,Petrol,0.0,-1.7765166306134166,-0.27186395379305184,0,2,2
 X1,-0.21856942177121053,20000,Semi-Auto,-0.16793906143547432,Diesel,0.0,0.8624408498018653,-0.27186395379305184,11,2,0
 X1,-0.932718708948922,22000,Semi-Auto,0.2213972372913273,Petrol,0.0,-0.7147485818525808,-0.27186395379305184,11,2,2
 X3,-2.361017283304345,17498,Semi-Auto,2.3375429939479835,Diesel,0.0,0.2645520456452776,-0.27186395379305184,13,2,0
 1 Series,-0.932718708948922,15798,Semi-Auto,0.6566301072534294,Petrol,0.0,0.2645520456452776,-1.3250189753023558,0,2,2
 5 Series,0.4955798654065009,28000,Semi-Auto,-0.4821540491233011,Diesel,0.0,1.1407683965644142,-0.27186395379305184,4,2,0
 X5,-0.932718708948922,41500,Automatic,0.3194668339479524,Diesel,0.0,-0.9209171350100247,1.8344460892255559,15,0,0
 1 Series,-0.21856942177121053,16000,Semi-Auto,0.7297246466281674,Diesel,0.0,1.7695824836946188,-1.3250189753023558,0,2,0
 3 Series,-0.21856942177121053,20500,Semi-Auto,-0.06411604844166056,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,2,2,2
 1 Series,-0.932718708948922,21500,Semi-Auto,0.41662111436911564,Petrol,0.0,-1.2301699647461906,1.8344460892255559,0,2,2
 X2,0.4955798654065009,30000,Semi-Auto,-0.5022910063034615,Diesel,0.0,-0.31271990319556464,-0.27186395379305184,12,2,0
 X3,-1.6468679961266333,20500,Semi-Auto,1.5616817249318704,Diesel,0.0,0.2645520456452776,-0.27186395379305184,13,2,0
 3 Series,-1.6468679961266333,19000,Semi-Auto,1.7905107837973289,Diesel,0.0,0.16146776906655572,1.8344460892255559,2,2,0
 3 Series,-0.932718708948922,18000,Semi-Auto,1.3001628005142034,Diesel,0.0,0.8624408498018653,-0.27186395379305184,2,2,0
 X3,-2.361017283304345,16500,Semi-Auto,2.280858767080454,Diesel,0.0,0.2645520456452776,-0.27186395379305184,13,2,0
 1 Series,-0.932718708948922,13500,Manual,0.8408701895056757,Petrol,0.0,0.16146776906655572,-1.3250189753023558,0,1,2
 4 Series,-0.21856942177121053,22000,Semi-Auto,-0.1415910298003944,Diesel,0.0,0.8624408498018653,-0.27186395379305184,3,2,0
 2 Series,0.4955798654065009,27500,Semi-Auto,-0.39971020820063163,Petrol,0.0,-1.395104807272145,1.8344460892255559,1,2,2
 5 Series,0.4955798654065009,28000,Semi-Auto,0.18870737173911892,Diesel,0.0,0.8624408498018653,1.8344460892255559,4,2,0
 2 Series,1.2097291525842124,29000,Manual,-0.49451081830203586,Petrol,0.0,-0.848758141404919,-1.3250189753023558,1,1,2
 4 Series,-1.6468679961266333,18998,Semi-Auto,0.46009863555355274,Diesel,0.0,0.16146776906655572,1.8344460892255559,3,2,0
 5 Series,0.4955798654065009,27000,Semi-Auto,-0.2689507459917982,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,4,2,2
 2 Series,-0.21856942177121053,18000,Semi-Auto,0.003944251638037246,Diesel,0.0,-0.21994405427471503,-0.27186395379305184,1,2,0
 7 Series,-1.6468679961266333,26000,Semi-Auto,1.6979984642845791,Diesel,0.0,0.2645520456452776,1.8344460892255559,6,2,0
 3 Series,-0.932718708948922,25500,Semi-Auto,0.11247460527136902,Diesel,0.0,-0.03439235643301584,1.8344460892255559,2,2,0
 3 Series,-1.6468679961266333,18000,Semi-Auto,0.12908105697189087,Diesel,0.0,0.37794474988187193,1.8344460892255559,2,2,0
 1 Series,-0.932718708948922,16800,Semi-Auto,0.23846134710958006,Diesel,0.0,1.6046476411686628,-0.27186395379305184,0,2,0
 3 Series,-0.21856942177121053,21300,Semi-Auto,0.3563410022908434,Diesel,0.0,0.8624408498018653,-0.27186395379305184,2,2,0
 X2,0.4955798654065009,29000,Semi-Auto,-0.7646598672254858,Petrol,0.0,-1.6012733604295888,-0.27186395379305184,12,2,2
 3 Series,0.4955798654065009,34000,Semi-Auto,-0.4961453115796463,Diesel,0.0,-0.13747663301173776,-0.27186395379305184,2,2,0
 3 Series,-0.932718708948922,24000,Semi-Auto,0.14542598974799503,Diesel,0.0,-0.21994405427471503,1.8344460892255559,2,2,0
 3 Series,-3.7893158576597674,14990,Semi-Auto,1.4636121282752452,Diesel,0.0,0.37794474988187193,-0.27186395379305184,2,2,0
 5 Series,-0.932718708948922,30000,Semi-Auto,-0.13256862690798488,Diesel,0.0,0.16146776906655572,1.8344460892255559,4,2,0
 1 Series,-0.21856942177121053,15800,Semi-Auto,-0.1295611592771817,Petrol,0.0,0.38825317753974425,-1.3250189753023558,0,2,2
 1 Series,-0.21856942177121053,16500,Semi-Auto,-0.35682110459613425,Petrol,0.0,-1.498189083850867,-1.3250189753023558,0,2,2
 X3,-2.361017283304345,19500,Semi-Auto,1.8602709568857414,Diesel,0.0,0.2645520456452776,-0.27186395379305184,13,2,0
 5 Series,0.4955798654065009,40000,Semi-Auto,-0.7897656839695818,Petrol,0.0,-1.2920205306934232,1.8344460892255559,4,2,2
 3 Series,-0.932718708948922,20998,Semi-Auto,1.131613853727017,Diesel,0.0,-0.03439235643301584,1.8344460892255559,2,2,0
 3 Series,-0.932718708948922,19698,Semi-Auto,0.4706901519924683,Diesel,0.0,0.4913374541184662,1.8344460892255559,2,2,0
 3 Series,-2.361017283304345,17200,Semi-Auto,-0.4554791188326991,Petrol,0.0,-0.3951873244585426,-0.27186395379305184,2,2,2
 1 Series,0.4955798654065009,26000,Manual,-0.7218361433520928,Diesel,0.0,0.6150385860129328,-1.3250189753023558,0,1,0
 4 Series,1.2097291525842124,27000,Semi-Auto,-0.8557338326539383,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,3,2,2
 4 Series,1.2097291525842124,27500,Semi-Auto,-0.8557338326539383,Diesel,0.0,0.8624408498018653,-0.27186395379305184,3,2,0
 4 Series,0.4955798654065009,32000,Semi-Auto,-0.5942149082362714,Diesel,0.0,-0.13747663301173776,1.8344460892255559,3,2,0
 5 Series,0.4955798654065009,35950,Semi-Auto,-0.5215126472481599,Diesel,0.0,-0.03439235643301584,1.8344460892255559,4,2,0
 4 Series,0.4955798654065009,25490,Semi-Auto,-0.28241897059930804,Diesel,0.0,0.8624408498018653,-0.27186395379305184,3,2,0
 5 Series,0.4955798654065009,34900,Semi-Auto,-0.2131164556286263,Diesel,0.0,0.16146776906655572,1.8344460892255559,4,2,0
 7 Series,-0.21856942177121053,42000,Semi-Auto,-0.39166850127478836,Diesel,0.0,0.05838349248783377,1.8344460892255559,6,2,0
 2 Series,0.4955798654065009,23950,Semi-Auto,-0.5688475725677578,Diesel,0.0,-0.5601221669844979,-0.27186395379305184,1,2,0
 4 Series,0.4955798654065009,26550,Semi-Auto,-0.3806193267181419,Diesel,0.0,0.7387397179073987,-0.27186395379305184,3,2,0
 4 Series,1.2097291525842124,29500,Semi-Auto,-0.8562568705027737,Diesel,0.0,0.8624408498018653,-0.27186395379305184,3,2,0
 5 Series,0.4955798654065009,28500,Semi-Auto,-0.6078792720370945,Diesel,0.0,1.1407683965644142,-0.27186395379305184,4,2,0
 5 Series,0.4955798654065009,26000,Semi-Auto,-0.569370610416593,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,4,2,2
 X2,0.4955798654065009,27000,Manual,-0.5419111233527381,Diesel,0.0,-0.21994405427471503,-0.27186395379305184,12,1,0
 4 Series,0.4955798654065009,27000,Semi-Auto,-0.5693052306854887,Diesel,0.0,0.8624408498018653,-0.27186395379305184,3,2,0
 3 Series,0.4955798654065009,33000,Semi-Auto,-0.10131711544007369,Diesel,0.0,-0.21994405427471503,-0.27186395379305184,2,2,0
 X2,0.4955798654065009,32000,Semi-Auto,-0.8567145286205046,Petrol,0.0,-1.8280587689027774,-0.27186395379305184,12,2,2
 3 Series,-3.7893158576597674,9498,Semi-Auto,2.7843480763155677,Petrol,0.0,-0.3951873244585426,-1.1143879710004947,2,2,2
 1 Series,-0.21856942177121053,23498,Semi-Auto,-0.12962653900828613,Petrol,0.0,-1.2301699647461906,1.8344460892255559,0,2,2
 X6,-0.21856942177121053,39990,Semi-Auto,-0.3717930630190457,Diesel,0.0,-1.1167772605095962,1.8344460892255559,16,2,0
 3 Series,-0.932718708948922,17000,Semi-Auto,1.9776275742181695,Diesel,0.0,0.4913374541184662,1.8344460892255559,2,2,0
 1 Series,0.4955798654065009,16500,Semi-Auto,-0.5304696704094651,Diesel,0.0,2.1303774517201455,-1.3250189753023558,0,2,0
 X4,-0.21856942177121053,40000,Semi-Auto,-0.5870231378147855,Diesel,0.0,-1.498189083850867,1.8344460892255559,14,2,0
 1 Series,0.4955798654065009,27000,Semi-Auto,-0.7779973323707868,Diesel,0.0,-0.03439235643301584,-0.27186395379305184,0,2,0
 3 Series,-0.932718708948922,19650,Semi-Auto,1.97141649976325,Diesel,0.0,1.1407683965644142,-0.27186395379305184,2,2,0
 4 Series,0.4955798654065009,22500,Semi-Auto,-0.4897380979314135,Diesel,0.0,1.4397127986427083,-0.27186395379305184,3,2,0
 3 Series,0.4955798654065009,34450,Semi-Auto,-0.6285392670660902,Diesel,0.0,-0.6322811605896028,1.8344460892255559,2,2,0
 4 Series,-1.6468679961266333,18498,Semi-Auto,0.7240366100220831,Diesel,0.0,0.37794474988187193,1.8344460892255559,3,2,0
 X1,-0.932718708948922,18998,Semi-Auto,0.9038962502903335,Diesel,0.0,1.4397127986427083,-0.27186395379305184,11,2,0
 3 Series,-0.932718708948922,20998,Semi-Auto,0.8589803750215992,Diesel,0.0,-0.03439235643301584,1.8344460892255559,2,2,0
 5 Series,-0.21856942177121053,24595,Semi-Auto,1.0060847700065367,Diesel,0.0,1.4397127986427083,-0.27186395379305184,4,2,0
 5 Series,-0.932718708948922,22990,Semi-Auto,1.3323296282175765,Diesel,0.0,0.8624408498018653,-0.27186395379305184,4,2,0
 4 Series,-0.21856942177121053,22595,Semi-Auto,0.38072764199279086,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,3,2,2
 3 Series,0.4955798654065009,27995,Semi-Auto,-0.6965341874146835,Diesel,0.0,0.16146776906655572,-0.27186395379305184,2,2,0
 5 Series,-0.932718708948922,21998,Semi-Auto,0.7941236817660178,Diesel,0.0,0.8624408498018653,-0.27186395379305184,4,2,0
 1 Series,-0.932718708948922,13798,Manual,1.39470189169119,Diesel,0.0,1.4397127986427083,-0.27186395379305184,0,1,0
 1 Series,-0.21856942177121053,14000,Manual,0.44989939750126373,Petrol,0.0,-1.446646945561506,-1.3250189753023558,0,1,2
 4 Series,-0.21856942177121053,24000,Manual,0.7671872325509981,Petrol,0.0,-1.549731222140228,1.8344460892255559,3,1,2
 3 Series,0.4955798654065009,28000,Automatic,-0.45541373910159466,Diesel,0.0,0.05838349248783377,-0.27186395379305184,2,0,0
 3 Series,-0.21856942177121053,27000,Automatic,0.02068146280076793,Diesel,0.0,-0.21994405427471503,1.8344460892255559,2,0,0
 2 Series,-0.21856942177121053,19000,Semi-Auto,-0.6112790180545241,Petrol,0.0,0.16146776906655572,-1.3250189753023558,1,2,2
 4 Series,-0.932718708948922,17495,Manual,0.023362031776049015,Petrol,0.0,-0.5601221669844979,-0.27186395379305184,3,1,2
 X4,-0.21856942177121053,36000,Semi-Auto,-0.5304696704094651,Diesel,0.0,-1.168319398798957,1.8344460892255559,14,2,0
 M4,1.2097291525842124,43000,Semi-Auto,-0.8547531366873721,Petrol,0.0,-1.8280587689027774,1.8344460892255559,9,2,2
 3 Series,1.2097291525842124,40000,Semi-Auto,-0.7266088637227153,Diesel,0.0,-0.3951873244585426,1.8344460892255559,2,2,0
 5 Series,-0.21856942177121053,30500,Semi-Auto,-0.22508094642073456,Petrol,0.0,-1.2920205306934232,1.8344460892255559,4,2,2
 2 Series,0.4955798654065009,21500,Semi-Auto,-0.7220322825454061,Petrol,0.0,-1.1167772605095962,-1.3250189753023558,1,2,2
 2 Series,0.4955798654065009,30000,Semi-Auto,-0.4941839196465138,Petrol,0.0,-1.395104807272145,1.8344460892255559,1,2,2
 5 Series,0.4955798654065009,42500,Semi-Auto,-0.6249433818553473,Diesel,0.0,-0.03439235643301584,1.8344460892255559,4,2,0
 2 Series,1.2097291525842124,36000,Semi-Auto,-0.49451081830203586,Petrol,0.0,-1.6012733604295888,-0.27186395379305184,1,2,2
 3 Series,-0.21856942177121053,25000,Semi-Auto,0.6826512402329873,Diesel,0.0,-0.21994405427471503,1.8344460892255559,2,2,0
 2 Series,-0.21856942177121053,14998,Manual,-0.6819545073783987,Petrol,0.0,-0.7869075754576857,-1.3250189753023558,1,1,2
 3 Series,-3.7893158576597674,12298,Semi-Auto,3.9705979174741044,Diesel,0.0,0.2645520456452776,1.8344460892255559,2,2,0
 5 Series,-0.21856942177121053,23998,Semi-Auto,0.06134765554771513,Diesel,0.0,1.1407683965644142,-0.27186395379305184,4,2,0
 3 Series,0.4955798654065009,26498,Semi-Auto,0.5263936828934314,Diesel,0.0,-0.31271990319556464,-0.27186395379305184,2,2,0
 4 Series,0.4955798654065009,21998,Semi-Auto,0.44081161487774984,Diesel,0.0,1.4397127986427083,-0.27186395379305184,3,2,0
 3 Series,0.4955798654065009,23298,Semi-Auto,-0.07451142568726282,Diesel,0.0,0.2645520456452776,-0.27186395379305184,2,2,0
 2 Series,-0.21856942177121053,17500,Automatic,-0.4599249405477994,Diesel,0.0,-0.03439235643301584,-0.27186395379305184,1,0,0
 1 Series,0.4955798654065009,16600,Manual,-0.39971020820063163,Diesel,0.0,1.7695824836946188,-0.27186395379305184,0,1,0
 X1,0.4955798654065009,25500,Automatic,-0.6622752083159692,Diesel,0.0,0.8624408498018653,-0.27186395379305184,11,0,0
 6 Series,-0.932718708948922,27500,Semi-Auto,0.5210325449428691,Diesel,0.0,-0.03439235643301584,1.8344460892255559,5,2,0
 5 Series,-0.932718708948922,21900,Semi-Auto,1.6694929015230535,Diesel,0.0,1.4397127986427083,-0.27186395379305184,4,2,0
 3 Series,0.4955798654065009,34900,Semi-Auto,-0.5566215628512318,Diesel,0.0,-0.21994405427471503,-0.27186395379305184,2,2,0
 1 Series,0.4955798654065009,22700,Semi-Auto,0.111690048498116,Diesel,0.0,0.8624408498018653,-0.27186395379305184,0,2,0
 X2,-0.21856942177121053,23900,Semi-Auto,-0.014819731188930355,Diesel,0.0,0.9964504093542036,-0.27186395379305184,12,2,0
 4 Series,0.4955798654065009,27450,Semi-Auto,-0.32504655527938775,Diesel,0.0,0.05838349248783377,1.8344460892255559,3,2,0
 X5,0.4955798654065009,46600,Semi-Auto,-0.2307689830268188,Diesel,0.0,-1.446646945561506,1.8344460892255559,15,2,0
 4 Series,0.4955798654065009,26800,Semi-Auto,-0.3561019275539857,Diesel,0.0,0.7387397179073987,-0.27186395379305184,3,2,0
 X1,0.4955798654065009,25000,Manual,-0.6144826248786406,Diesel,0.0,1.7695824836946188,-0.27186395379305184,11,1,0
 X2,0.4955798654065009,27000,Automatic,-0.8541647191074323,Diesel,0.0,-0.13747663301173776,-0.27186395379305184,12,0,0
 3 Series,0.4955798654065009,32000,Automatic,-0.49405316018430495,Diesel,0.0,-0.21994405427471503,-0.27186395379305184,2,0,0
 2 Series,0.4955798654065009,21000,Semi-Auto,-0.7017645659030369,Petrol,0.0,-1.1167772605095962,-1.3250189753023558,1,2,2
 2 Series,0.4955798654065009,21000,Manual,-0.656129513592154,Petrol,0.0,-1.2301699647461906,-1.3250189753023558,1,1,2
 2 Series,0.4955798654065009,21000,Manual,-0.7755782823199234,Petrol,0.0,-0.9209171350100247,-1.3250189753023558,1,1,2
 2 Series,0.4955798654065009,23500,Semi-Auto,-0.6831967222693826,Petrol,0.0,-0.13747663301173776,-0.27186395379305184,1,2,2
 2 Series,0.4955798654065009,20500,Manual,-0.751976199391229,Petrol,0.0,-0.9209171350100247,-1.3250189753023558,1,1,2
 4 Series,-0.21856942177121053,20500,Semi-Auto,-0.421416278927298,Diesel,0.0,1.4397127986427083,-0.27186395379305184,3,2,0
 2 Series,0.4955798654065009,20500,Automatic,-0.4206971018851494,Petrol,0.0,-0.3951873244585426,-0.27186395379305184,1,0,2
 2 Series,0.4955798654065009,20500,Automatic,-0.7469419600961889,Petrol,0.0,-0.13747663301173776,-0.27186395379305184,1,0,2
 5 Series,-0.932718708948922,24998,Semi-Auto,0.7620222337937492,Diesel,0.0,0.8624408498018653,1.8344460892255559,4,2,0
 2 Series,0.4955798654065009,19500,Manual,-0.7592333495438192,Petrol,0.0,-0.9209171350100247,-1.3250189753023558,1,1,2
 2 Series,0.4955798654065009,23500,Semi-Auto,-0.7158865878215909,Diesel,0.0,-0.21994405427471503,-0.27186395379305184,1,2,0
